Time,Login,Deposit,Closed P/L,Balance,Credit,Floating P/L,Equity,Used Margin,Free Margin
2023.06.29,125907,0,0,0,0,0,0,0,0
2023.06.29,125908,0,0,0,0,0,0,0,0
2023.06.29,125909,0,0,0,0,0,0,0,0
2023.06.29,125910,0,0,0.13,0,0,0.13,0,0.13
2023.06.29,125911,0,0,7495.98,0,-2630.69,4865.29,800,4065.29
2023.06.29,125912,0,0,2.24,0,0,2.24,0,2.24
2023.06.29,125913,0,0,0,0,0,0,0,0
2023.06.29,125914,0,0,2.24,0,0,2.24,0,2.24
2023.06.29,125915,0,0,0,0,0,0,0,0
2023.06.29,125916,0,0,0,0,0,0,0,0
2023.06.29,125917,0,0,0,0,0,0,0,0
2023.06.29,125918,0,0,0.86,0,0,0.86,0,0.86
2023.06.29,125919,0,0,0,0,0,0,0,0
2023.06.29,125920,0,0,0,0,0,0,0,0
2023.06.29,125921,0,0,0,0,0,0,0,0
2023.06.29,125922,0,0,0,0,0,0,0,0
2023.06.29,125923,0,0,0,0,0,0,0,0
2023.06.29,125924,0,0,0,0,0,0,0,0
2023.06.29,125925,0,0,0,0,0,0,0,0
2023.06.29,125927,0,0,0,0,0,0,0,0
2023.06.29,125928,0,0,0,0,0,0,0,0
2023.06.29,125929,0,0,0,0,0,0,0,0
2023.06.29,125930,0,0,1251.8,100,-445.24,906.56,120,786.56
2023.06.29,125931,0,0,0,0,0,0,0,0
2023.06.29,125932,0,0,0,0,0,0,0,0
2023.06.29,125933,0,0,0,0,0,0,0,0
2023.06.29,125934,0,0,0,0,0,0,0,0
2023.06.29,125935,0,0,0,0,0,0,0,0
2023.06.29,125936,0,0,0,0,0,0,0,0
2023.06.29,125937,0,0,11.81,0,0,11.81,0,11.81
2023.06.29,125938,0,0,112953.61,0,-66139,46814.61,7835.14,38979.47
2023.06.29,125939,0,0,0.4,0,0,0.4,0,0.4
2023.06.29,125940,0,0,3557.92,200,-1183.81,2574.11,360,2214.11
2023.06.29,125941,0,0,0,0,0,0,0,0
2023.06.29,125942,0,0,0,0,0,0,0,0
2023.06.29,125943,0,0,0,0,0,0,0,0
2023.06.29,125944,0,0,0,0,0,0,0,0
2023.06.29,125945,0,0,0.35,0,0,0.35,0,0.35
2023.06.29,125946,0,0,0,0,0,0,0,0
2023.06.29,125947,0,0,1.14,0,0,1.14,0,1.14
2023.06.29,125948,0,-5.03,52.28,0,-0.38,51.9,6.98,44.92
2023.06.29,125949,0,0,2376.49,0,0,2376.49,0,2376.49
2023.06.29,125950,0,0,0,0,0,0,0,0
2023.06.29,125951,0,0,7356.38,500,-2433.39,5422.99,740,4682.99
2023.06.29,125952,0,0,0,0,0,0,0,0
2023.06.29,125953,0,0,0,0,0,0,0,0
2023.06.29,125954,0,0,4.82,0,0,4.82,0,4.82
2023.06.29,125955,0,0,0,0,0,0,0,0
2023.06.29,125956,0,0,0,0,0,0,0,0
2023.06.29,125957,0,0,0,0,0,0,0,0
2023.06.29,125958,0,0,14.55,0,0,14.55,0,14.55
2023.06.29,125959,0,0,0.38,0,0,0.38,0,0.38
2023.06.29,125960,0,0,9.35,0,0,9.35,0,9.35
2023.06.29,125961,0,0,0,0,0,0,0,0
2023.06.29,125962,0,0,0.94,0,0,0.94,0,0.94
2023.06.29,125963,0,0,0,0,0,0,0,0
2023.06.29,125964,0,0,0,0,0,0,0,0
2023.06.29,125965,0,0,0.73,0,0,0.73,0,0.73
2023.06.29,125966,0,0,0.38,0,0,0.38,0,0.38
2023.06.29,125967,0,0,788,0,0,788,0,788
2023.06.29,125968,0,0,0,0,0,0,0,0
2023.06.29,125969,0,0,0,0,0,0,0,0
2023.06.29,125970,0,0,2519.4,500,0,3019.4,0,3019.4
2023.06.29,125971,0,0,0,0,0,0,0,0
2023.06.29,125972,0,0,0,0,0,0,0,0
2023.06.29,125973,0,0,0,0,0,0,0,0
2023.06.29,125974,0,0,0,0,0,0,0,0
2023.06.29,125975,0,0,3950.15,0,-2572.88,1377.27,200,1177.27
2023.06.29,125976,0,0,0,0,0,0,0,0
2023.06.29,125977,0,0,0,0,0,0,0,0
2023.06.29,125979,0,0,2,0,0,2,0,2
2023.06.29,125980,0,0,0.34,0,0,0.34,0,0.34
2023.06.29,125981,0,0,94238.81,0,-54595.92,39642.89,4723.8,34919.09
2023.06.29,125982,0,0,0,0,0,0,0,0
2023.06.29,125983,0,0,0,0,0,0,0,0
2023.06.29,125984,-55,30.2,682.19,0,0,682.19,0,682.19
2023.06.29,125985,0,0,0,0,0,0,0,0
2023.06.29,125986,0,0,0,0,0,0,0,0
2023.06.29,125987,0,0,0,0,0,0,0,0
2023.06.29,125988,0,0,0,0,0,0,0,0
2023.06.29,125989,0,0,0.84,0,0,0.84,0,0.84
