Deal,Login,Open Time,Type,Symbol,Volume,Open Price,Close Time,Close Price,Commission,Taxes,Agent,Swap,Profit,Pips,Comment
527968,14628658,2023.06.28 19:09:21,buy,eurusd,0.15,1.09201,2023.06.29 11:19:57,1.09297,0,0,0,0,14.4,96,
527988,794228,2023.06.28 19:31:58,buy,xauusd,0.08,1910.36,2023.06.29 01:15:23,1911.41,0,0,0,-4.95,8.4,105,[tp]
527990,126039,2023.06.28 19:49:06,buy,xauusd,0.1,1910.27,2023.06.29 01:14:47,1910.95,0,0,0,0,6.8,68,
527995,120185,2023.06.28 19:56:01,buy,usousd,0.1,69.318,2023.06.29 11:20:06,69.916,0,0,0,-1.06,59.8,598,
528004,14629007,2023.06.28 20:09:59,buy,xauusd,0.02,1910.07,2023.06.29 01:22:12,1912.16,0,0,0,0,4.18,209,
528010,14629180,2023.06.27 13:48:27,buy,xauusd,0.2,1927.22,2023.06.29 13:05:37,1897.68,0,0,0,0,-590.8,-2954,from #526398
528037,126028,2023.06.28 22:20:05,buy,xauusd,0.01,1909.62,2023.06.29 01:28:12,1911.91,0,0,0,-0.62,2.29,229,
528038,2377928,2023.06.28 22:51:12,buy,xauusd,0.25,1910.39,2023.06.29 11:37:37,1910.86,0,0,0,-15.47,11.75,47,
528039,2249396,2023.06.28 23:15:02,buy,xauusd,0.05,1910.49,2023.06.29 00:06:52,1907.99,0,0,0,-3.09,-12.5,-250,[sl]
528042,14629293,2023.06.28 23:27:04,buy,gbpjpy,0.04,182.535,2023.06.29 06:06:36,182.537,0,0,0,0,0.05,2,
528043,14629293,2023.06.28 23:33:56,buy,usousd,0.01,69.406,2023.06.29 01:17:06,69.515,0,0,0,-0.11,1.09,109,
528046,626188,2023.06.29 00:00:42,buy,xauusd,0.03,1909.73,2023.06.29 01:14:47,1910.95,0,0,0,0,3.66,122,
528047,2292031,2023.06.29 00:02:40,buy,xauusd,0.01,1909.05,2023.06.29 00:58:59,1910.05,0,0,0,0,1,100, [tp]
528048,126039,2023.06.29 00:07:47,buy,xauusd,0.1,1908.38,2023.06.29 00:59:15,1910.05,0,0,0,0,16.7,167,
528053,2004650,2023.06.29 00:16:38,buy,xauusd,24.9,1908.62,2023.06.29 03:36:37,1904.01,0,0,0,0,-11478.9,-461,
528057,14629039,2023.06.29 00:17:05,buy,usdjpy,0.05,144.466,2023.06.29 00:17:55,144.42,0,0,0,0,-1.59,-46,
528058,14629039,2023.06.29 00:17:11,buy,usdjpy,0.05,144.459,2023.06.29 00:18:01,144.42,0,0,0,0,-1.35,-39,
528063,14629039,2023.06.28 15:17:32,buy,usousd,0.01,69.311,2023.06.29 01:44:49,69.591,0,0,0,-0.1,2.8,280,so: 18.0%/8.7/48.5
528065,14629039,2023.06.29 00:46:31,buy,usdjpy,0.05,144.376,2023.06.29 00:48:29,144.333,0,0,0,0,-1.49,-43,to #528069
528066,14629039,2023.06.29 00:46:40,buy,usdjpy,0.1,144.386,2023.06.29 00:48:14,144.331,0,0,0,0,-3.81,-55,
528069,14629039,2023.06.29 00:46:31,buy,usdjpy,0.05,144.376,2023.06.29 00:49:46,144.322,0,0,0,0,-1.87,-54,from #528065
528076,14628529,2023.06.29 01:08:05,buy,xauusd,0.15,1910.75,2023.06.29 11:45:36,1909.98,0,0,0,0,-11.55,-77,
528079,14629293,2023.06.29 01:19:44,buy,nasusd,0.01,15033.1,2023.06.29 09:40:21,15020,0,0,0,0,-1.31,-131,[tp]
528080,14629293,2023.06.29 01:19:49,buy,u30usd,0.01,33971.3,2023.06.29 10:13:42,33980.1,0,0,0,0,0.88,88,[tp]
